,Response
0,6.0
1,2.0
2,3.0
3,6.0
4,8.0
5,7.0
6,8.0
7,2.0
8,6.0
9,8.0
10,8.0
11,8.0
12,8.0
13,7.0
14,8.0
15,8.0
16,8.0
17,8.0
18,6.0
19,6.0
20,8.0
21,8.0
22,2.0
23,8.0
24,8.0
25,8.0
26,8.0
27,4.0
28,6.0
29,6.0
30,7.0
31,8.0
32,6.0
33,8.0
34,1.0
35,7.0
36,6.0
37,5.0
38,8.0
39,8.0
40,5.0
41,6.0
42,7.0
43,6.0
44,6.0
45,4.0
46,8.0
47,1.0
48,4.0
49,6.0
50,7.0
51,5.0
52,8.0
53,6.0
54,2.0
55,5.0
56,8.0
57,8.0
58,5.0
59,6.0
60,3.0
61,8.0
62,6.0
63,8.0
64,2.0
65,4.0
66,8.0
67,8.0
68,5.0
69,7.0
70,6.0
71,2.0
72,7.0
73,8.0
74,7.0
75,8.0
76,8.0
77,4.0
78,8.0
79,8.0
80,8.0
81,7.0
82,6.0
83,6.0
84,8.0
85,3.0
86,8.0
87,8.0
88,2.0
89,8.0
90,8.0
91,7.0
92,4.0
93,8.0
94,8.0
95,8.0
96,7.0
97,4.0
98,8.0
99,1.0
100,8.0
101,6.0
102,6.0
103,1.0
104,2.0
105,5.0
106,8.0
107,8.0
108,8.0
109,7.0
110,8.0
111,7.0
112,2.0
113,8.0
114,6.0
115,7.0
116,6.0
117,8.0
118,6.0
119,6.0
120,7.0
121,1.0
122,8.0
123,1.0
124,8.0
125,8.0
126,2.0
127,7.0
128,8.0
129,8.0
130,7.0
131,4.0
132,8.0
133,8.0
134,8.0
135,5.0
136,4.0
137,8.0
138,8.0
139,8.0
140,8.0
141,8.0
142,8.0
143,8.0
144,8.0
145,6.0
146,8.0
147,6.0
148,6.0
149,6.0
150,6.0
151,8.0
152,7.0
153,8.0
154,2.0
155,6.0
156,4.0
157,8.0
158,8.0
159,6.0
160,5.0
161,7.0
162,2.0
163,7.0
164,6.0
165,6.0
166,6.0
167,8.0
168,6.0
169,6.0
170,6.0
171,6.0
172,7.0
173,4.0
174,2.0
175,6.0
176,4.0
177,5.0
178,5.0
179,8.0
180,4.0
181,8.0
182,8.0
183,6.0
184,4.0
185,5.0
186,6.0
187,8.0
188,6.0
189,4.0
190,7.0
191,4.0
192,8.0
193,8.0
194,8.0
195,8.0
196,7.0
197,8.0
198,5.0
199,4.0
200,8.0
201,8.0
202,5.0
203,8.0
204,4.0
205,5.0
206,8.0
207,2.0
208,8.0
209,6.0
210,6.0
211,6.0
212,6.0
213,7.0
214,8.0
215,8.0
216,6.0
217,8.0
218,8.0
219,8.0
220,8.0
221,2.0
222,6.0
223,8.0
224,7.0
225,7.0
226,2.0
227,8.0
228,8.0
229,2.0
230,8.0
231,7.0
232,5.0
233,8.0
234,7.0
235,6.0
236,8.0
237,6.0
238,5.0
239,8.0
240,4.0
241,7.0
242,6.0
243,5.0
244,8.0
245,8.0
246,8.0
247,6.0
248,8.0
249,7.0
250,5.0
251,7.0
252,4.0
253,5.0
254,8.0
255,6.0
256,8.0
257,7.0
258,6.0
259,8.0
260,7.0
261,8.0
262,7.0
263,6.0
264,4.0
265,7.0
266,4.0
267,8.0
268,8.0
269,8.0
270,6.0
271,6.0
272,6.0
273,7.0
274,2.0
275,6.0
276,8.0
277,4.0
278,8.0
279,2.0
280,8.0
281,8.0
282,6.0
283,2.0
284,8.0
285,6.0
286,8.0
287,4.0
288,6.0
289,4.0
290,8.0
291,8.0
292,8.0
293,6.0
294,8.0
295,8.0
296,6.0
297,7.0
298,2.0
299,8.0
300,2.0
301,8.0
302,8.0
303,8.0
304,8.0
305,8.0
306,8.0
307,6.0
308,1.0
309,6.0
310,6.0
311,6.0
312,8.0
313,8.0
314,6.0
315,6.0
316,6.0
317,6.0
318,8.0
319,7.0
320,5.0
321,2.0
322,1.0
323,7.0
324,2.0
325,5.0
326,8.0
327,8.0
328,1.0
329,6.0
330,6.0
331,7.0
332,8.0
333,7.0
334,6.0
335,4.0
336,8.0
337,8.0
338,6.0
339,4.0
340,8.0
341,6.0
342,5.0
343,8.0
344,5.0
345,2.0
346,6.0
347,8.0
348,8.0
349,8.0
350,3.0
351,4.0
352,6.0
353,6.0
354,8.0
355,8.0
356,5.0
357,5.0
358,8.0
359,5.0
360,3.0
361,8.0
362,8.0
363,2.0
364,8.0
365,6.0
366,8.0
367,7.0
368,8.0
369,6.0
370,6.0
371,6.0
372,8.0
373,7.0
374,5.0
375,8.0
376,6.0
377,7.0
378,5.0
379,5.0
380,7.0
381,8.0
382,4.0
383,8.0
384,8.0
385,7.0
386,4.0
387,8.0
388,7.0
389,4.0
390,7.0
391,6.0
392,8.0
393,2.0
394,5.0
395,4.0
396,5.0
397,2.0
398,7.0
399,8.0
400,6.0
401,7.0
402,4.0
403,8.0
404,7.0
405,6.0
406,6.0
407,8.0
408,8.0
409,8.0
410,7.0
411,8.0
412,1.0
413,5.0
414,8.0
415,5.0
416,8.0
417,8.0
418,6.0
419,8.0
420,6.0
421,8.0
422,8.0
423,8.0
424,3.0
425,8.0
426,8.0
427,2.0
428,6.0
429,3.0
430,3.0
431,8.0
432,8.0
433,6.0
434,1.0
435,7.0
436,7.0
437,8.0
438,8.0
439,4.0
440,8.0
441,8.0
442,8.0
443,6.0
444,8.0
445,8.0
446,6.0
447,8.0
448,8.0
449,6.0
450,2.0
451,6.0
452,8.0
453,8.0
454,3.0
455,8.0
456,8.0
457,1.0
458,8.0
459,4.0
460,6.0
461,2.0
462,4.0
463,8.0
464,6.0
465,8.0
466,8.0
467,8.0
468,6.0
469,6.0
470,8.0
471,7.0
472,8.0
473,8.0
474,2.0
475,8.0
476,8.0
477,8.0
478,6.0
479,2.0
480,6.0
481,6.0
482,8.0
483,8.0
484,8.0
485,8.0
486,8.0
487,6.0
488,6.0
489,5.0
490,8.0
491,7.0
492,8.0
493,8.0
494,8.0
495,4.0
496,8.0
497,6.0
498,8.0
499,4.0
